LID,Glottocode,Language,WordOrderAPLex,WordOrderAPVLexFlexible,VFinalLex,VFinalOrFreeLex,VInitialLex,VMedialLex,WordOrderAPVBasicLex,WordOrderSVBasicLex,WordOrderAPBasicLex,WordOrderAVBasicLex,WordOrderPVBasicLex,PositionVBasicLex,PositionVBasicLexIsFinal,PositionVBasicLexIsFinalFree,PositionVBasicLexIsInitial,PositionVBasicLexIsMedial,WordOrderAPVSecondaryLex,WordOrderSVSecondaryLex,WordOrderAPSecondaryLex,WordOrderAVSecondaryLex,WordOrderPVSecondaryLex,PositionVSecondaryLex,PositionVSecondaryLexIsFinal,PositionVSecondaryLexIsFinalFree,PositionVSecondaryLexIsInitial,PositionVSecondaryLexIsMedial
199,nama1264,Nama,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
148,kung1261,!Kung,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
94,hadz1240,Hadza,,,,,,,,,,,,,,,,,,,,,,,,,,
347,sand1273,Sandawe,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
151,kwad1244,Kwadi,,,,,,,,,,,,,,,,,,,,,,,,,,
323,tega1236,Orig,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
75,ewee1241,Ewe,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
172,mand1436,Mandinka,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
80,adam1253,Fula,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
305,izon1238,Ijo,,,,,,,,,,,,,,,,,,,,,,,,,,
85,gbay1287,Gbeya,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
165,gand1255,Luganda,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
123,kanu1279,Kanuri,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
81,furr1244,Fur,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
111,ikkk1242,Ik,mixed,flexible,mixed,mixed,mixed,mixed,VAO,,AO,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE
207,nara1262,Nera,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
69,nubi1251,Nubian (Dongolese),AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
159,lang1324,Lango,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
167,masa1300,Maa,AO,rigid,non_final,other,initial,other,VAO,,AO,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,
299,nand1266,Nandi,,,,,,,,,,,,,,,,,,,,,,,,,,
91,gumu1244,Gumuz,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
421,yoru1245,Yoruba,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
120,kaby1243,Kabyle,,,,,,,,,,,,,,,,,,,,,,,,,,
98,haus1257,Hausa,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
121,dera1248,Kanakuru,,,,,,,,,,,,,,,,,,,,,,,,,,
373,tera1251,Tera,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
294,egyp1246,Egyptian (Ancient),,,,,,,,,,,,,,,,,,,,,,,,,,
15,akka1240,Akkadian,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
23,stan1318,Arabic,AO,rigid,non_final,other,initial,other,VAO,,AO,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,
