LID,Glottocode,Language,CohesionPatternLoc,MphmTypesInCohDomainProp,MphmTypesInCohPrefixDomainProp,MphmTypesInCohSuffixDomainProp,MphmTypesInCohStemDomainProp,MphmTypesInCohDomain,MphmTypesInCohDomainBinned77,CoherentEncliticBoundaryPresence,CoherentEnclEnclBoundaryPresence,CohPatternOutputOrigin,MphmTypesInCohDomainMultistemPresence,CohesionPatternLabel,CohesionPatternBinned18,CohesionPatternBinned12,CohesionPatternBinned4,CoherentPrefixBoundaryPresence,CoherentPrefixPrefixBoundaryPresence,CoherentPrefixStemBoundaryPresence,CoherentProclBoundaryPresence,CoherentProclPrefixBoundaryPresence,CoherentProclProcliticBoundaryPresence,CoherentProclStemBoundaryPresence,CohesionPatternDataSourceType,NumberMphmTypesInCohDomain,NumberMphmTypesInCohPrefixDomain,NumberMphmTypesInCohSuffixDomain,CoherentStemBoundaryPresence,CoherentStemEnclBoundaryPresence,CoherentStemEndoclBoundaryPresence,CoherentStemInfixBoundaryPresence,CoherentStemSuffixBoundaryPresence,CohesionPatternStressPresence,CohPatternStructurePreservingPresence,CoherentSuffixBoundaryPresence,CoherentSuffixEnclBoundaryPresence,CoherentSuffixSuffixBoundaryPresence,SurveyStatus,CohesionPatternType,MphmTypesInCohPrefixDomainPropBinned3,MphmTypesInCohSuffixDomainPropBinned3,MphmTypesInCohStemDomainPropBinned3
690,mana1288,Manange,right edge,0.75,0.5,1,1,stem ± suffix ± post particle,50,0,0,Lexical,subphrasal,*C if Obs (coda) (No obstruent coda consonants are permitted in this domain),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,3,1,3,1,1,,,1,other,structure_preserving,0,1,1,pword exhaustive,P Domain,low,medium,low
77,fiji1243,Fijian (Boumaa),spans,0.5,0.3333333333333333,1,8,root ± suffix,3,,,Unknown,subphrasal,Max 7-Mora (No phonological unit in this domain type may be bigger than 7 mora),size_related,size_related,size_related,0,0,0,0,0,0,0,Grammar Explicit,2,1,2,1,,,,1,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,high
77,fiji1243,Fijian (Boumaa),Min Domain,0.5,0.3333333333333333,1,8,root ± suffix,3,,,Lexical,subphrasal,"Min Bimora, General (This domain must minimally be bimoraic (CV: or CVC))",size_related,size_related,size_related,0,0,0,0,0,0,0,Grammar Explicit,2,1,2,1,,,,1,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,high
642,egyp1253,Arabic (Egyptian),right edge,0.285714285714286,0.5,0.25,1,prefix + stem,4,0,0,Non-Lexical,subphrasal,CC only here (Onset clusters only permitted in this domain; elsewhere dispreferred or banned outright),constraint,constraint,segmental,0,0,1,0,0,0,0,Questionnaire,2,2,1,0,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
691,tibe1272,Tibetan (Lhasa),left edge,0.333333333333333,0.5,0.5,1,stem,2,,,Lexical,subphrasal,*CC Onset (No onset consonant clusters are permitted at all in this domain (even though onset clusters are permitted elsewhere)),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive,P Domain,low,low,low
206,nepa1254,Nepali,left edge,0.5,1,0.3333333333333333,1,stem ± prefix,4,0,0,Lexical,subphrasal,*CC  unless C2 is Glide (The onset cluster type allowed in this domain is only one where the C2 is a glide),constraint,constraint,segmental,0,1,1,,,,,Grammar Explicit,2,2,1,1,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
63,kumi1248,Diegueño,spans,0.25,0.5,0.5,1,stem,2,0,0,Lexical,subphrasal,*CC Onset (No onset consonant clusters are permitted at all in this domain (even though onset clusters are permitted elsewhere)),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,0,,,,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,low,low,low
691,tibe1272,Tibetan (Lhasa),left edge,0.666666666666667,1,0.5,1,stem ± prefix,4,,,Non-Lexical,subphrasal,"If ʔ, then only here (If glottal stop can be an onset segment, then it is so only in this domain)",constraint,constraint,segmental,0,1,1,,,,,Grammar Implicit,2,2,1,1,,,,0,other,non_structure_preserving,0,,0,pword exhaustive,P Domain,medium,low,low
642,egyp1253,Arabic (Egyptian),right edge,0.285714285714286,0.25,0.5,1,stem + suffix,3,0,0,Unknown,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: VV Concatenation and V lengthening (A series of two vowels concatenates to a single v: syllable)",strengthening,process,segmental,0,0,0,0,0,0,0,Questionnaire,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
206,nepa1254,Nepali,spans,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: glide insertion (unspecified for P.O.A., addition of a consonant constituent; different from ID 39 where a segment alters to become glide)",insertion,process,segmental,0,0,0,,,,,Grammar Implicit,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
