"Module","Variable","VariantOf","SetUp","DataEntry","VariableType","DataType","N.levels","N.entries","N.languages","Description"
"Agreement","VPolyagreement.Presence.v2","VPolyagreement","single aggregated entry per language","by hand","data","logical",2,380,380,"Agreement with more than one argument, including anaphoric agreement and all kinds of clitics. Entries are based on information from the locus and synthesis sections."
"Agreement","VPolyagreement.Presence.v1","VPolyagreement","single aggregated entry per language","by hand","data","logical",2,368,368,"Agreement with more than one argument.  Only obligatory and grammatical agreement; no clitics. Entries are based on information from the locus and synthesis sections, with inspection of grammars for distinguishing grammatical vs pronominal agreement, following the definition in Bickel & Nichols 2007 (in Shopen, T. [ed.] Language Typology and Syntactic Description. CUP)"
"Alienability","NPLocusDistribution","NPLocusDistribution","single aggregated entry per language","by hand","data","categorical",18,207,207,"Distributuion of locus of marking across types of possessive relations"
"Alienability","NPPossClassificationType","NPPossClassificationType","single aggregated entry per language","by hand","data","categorical",2,141,141,"Type of possessive classification"
"Alienability","NPPossBoundNouns.n","NPPossBoundNouns.n","single aggregated entry per language","by hand","data","ratio",4,262,262,"Number of bound (obligatorily possessed) nouns"
"Alienability","NPPossBoundNouns.Presence","NPPossBoundNouns.Presence","single aggregated entry per language","by hand","data","categorical",2,262,262,"Presence of bound (obligatorily possessed) nouns"
"Alienability","NPPossClassesMultiple.Presence","NPPossClassesMultiple.Presence","single aggregated entry per language","derived","data","logical",2,274,274,"Multiple overt possessive classes"
"Alienability","NPAlienableClasses.n","NPAlienableClasses.n","single aggregated entry per language","by hand","data","ratio",5,253,253,"Number of alienable classes"
"Alienability","NPAlienableClasses.Presence","NPAlienableClasses.Presence","single aggregated entry per language","by hand","data","logical",2,253,253,"Presence of any alienable classes"
"Alienability","NPInalienableClasses.n","NPInalienableClasses.n","single aggregated entry per language","by hand","data","ratio",8,257,257,"Number of inalienable classes"
"Alienability","NPInalienableClasses.Presence","NPInalienableClasses.Presence","single aggregated entry per language","by hand","data","logical",2,257,257,"Presence of any inalienable class"
"Alienability","NPPossClasses.n","NPPossClasses.n","single aggregated entry per language","by hand","data","ratio",10,273,273,"Number of possessive classes, distinguished by overt markers or differences in the form of the possessor or the possessed or both"
"Alienability","NPPossClasses.Presence","NPPossClasses.Presence","single aggregated entry per language","derived","data","logical",2,274,274,"Presence of any possessive class distinction, distinguished by overt markers or differences in the form of the possessor or the possessed or both"
"Alienability","NPPossClassificationAny.Presence","NPPossClassificationAny.Presence","single aggregated entry per language","derived","data","logical",2,282,282,"Presence of any possessive classification, either in the form overtly marked classes or in the form of bound nouns"
"Alignment","AlignmentAequivalentS.Presence","AlignmentSAPTG","multiple entries per language","derived","data","logical",2,260896,696,"Generalized semantic role A (as defined in Bickel et al. 2014 in Studies in Language) treated like S"
"Alignment","AlignmentPTG","AlignmentSAPTG","multiple entries per language","derived","data","categorical",5,17247,389,"Alignment of generalized semantic roles (as defined in Bickel et al. 2014 in Studies in Language) P, T, and G for the given selector under the given conditions. The variable specifies which subsets of roles is selected (aligns)."
"Alignment","AlignmentSAP","AlignmentSAPTG","multiple entries per language","derived","data","categorical",5,260896,696,"Alignment of generalized semantic roles (as defined in Bickel et al. 2014 in Studies in Language) S, A, and P for the given selector under the given conditions. The variable specifies which subsets of roles is selected (aligns)."
"Alignment","AlignmentSAPTG","AlignmentSAPTG","multiple entries per language","derived","data","categorical",155,17247,389,"Alignment of generalized semantic roles (as defined in Bickel et al. 2014 in Studies in Language) S, A, P, T, and G for the given selector under the given conditions. The variable specifies which subsets of roles is selected (aligns)."
"Alignment","AlignmentValClassCondition.binned.default","AlignmentValClassCondition","multiple entries per language","derived","condition","logical",2,18654,695,"The alignment is stated about default valence classes (as defined in Bickel et al. 2014 in Studies in Language) only"
"Alignment","AlignmentDiathesisCondition","AlignmentDiathesisCondition","multiple entries per language","derived","condition","categorical",2,260892,696,"The diathesis that conditions the alignment"
"Alignment","AlignmentDomainCondition","AlignmentDomainCondition","multiple entries per language","derived","condition","categorical",24,142,696,"The syntactic domain in which the selector is active.  If there is a condition, this is coded by  a language-specific entry, e.g. ""3024_NTOP"", which refers to the syntactic domain that excludes the topic position in the language with LID 3024."
"Alignment","AlignmentGequivalentP.Presence","AlignmentSAPTG","multiple entries per language","derived","data","logical",2,17247,389,"Generalized semantic role G (as defined in Bickel et al. 2014 in Studies in Language) treated like P"
"Alignment","AlignmentSelector","AlignmentSelector","multiple entries per language","derived","condition","categorical",3,260896,696,"Selector: which morphosyntactic pattern aligns the generalized semantic roles (form subsets of arguments)? For agreement this database distinguishes between (a) alignments based on which arguments triggers agreement (“agreement (syntax)”) and (b) alignments based on the shape of individual agreement markers (“agreement (markers)”). See Bickel et al. 2013 (in Languages across boundaries: studies in memory of Anna Siewierska, ed. D. Bakker & M. Haspelmath, Berlin: DeGruyter Mouton)"
"Alignment","AlignmentPequivalentS.Presence","AlignmentSAPTG","multiple entries per language","derived","data","logical",2,260896,696,"Generalized semantic role P (as defined in Bickel et al. 2014 in Studies in Language) treated like S"
"Alignment","AlignmentPolarityCondition","AlignmentPolarityCondition","multiple entries per language","derived","condition","categorical",2,126310,696,"The polarity that conditions the alignment"
