dataset,dataset_kind,modules,variable,kind,variant_of,data,n_languages_covered
Alienability,primary,Categories,LID,manual entry,,integer,1
Alienability,primary,Categories,Glottocode,manual entry,,string,1
Alienability,primary,Categories,Language,manual entry,,string,1
Alienability,primary,Categories,NPPossessionLocusDistribution,manual entry,,value-list,1
Alienability,primary,Categories,NPHasPossessiveClassification,computed,,logical,1
Alienability,primary,Categories,NPPossessiveClassificationType,manual entry,,value-list,1
Alienability,primary,Categories,NPHasBoundNouns,computed,,logical,1
Alienability,primary,Categories,NPBoundNounsCount,manual entry,,integer,1
Alienability,primary,Categories,NPHasAlienableClasses,computed,,logical,1
Alienability,primary,Categories,NPAlienableClassesCount,manual entry,,integer,1
Alienability,primary,Categories,NPHasInalienableClasses,computed,,logical,1
Alienability,primary,Categories,NPInalienableClassesCount,manual entry,,integer,1
Alienability,primary,Categories,NPHasPossessiveClasses,computed,,logical,1
Alienability,primary,Categories,NPHasMultiplePossessiveClasses,computed,,logical,1
Alienability,primary,Categories,NPPossessiveClassesCount,manual entry,,integer,1
ClauseLinkage,primary,Sentence,LID,manual entry,,integer,1
ClauseLinkage,primary,Sentence,Glottocode,manual entry,,string,1
ClauseLinkage,primary,Sentence,Language,manual entry,,string,1
ClauseLinkage,primary,Sentence,ConstructionLabel,manual entry,,string,1
ClauseLinkage,primary,Sentence,MarkerID,manual entry,,integer,1
ClauseLinkage,primary,Sentence,IntuitiveClassification,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,OriginalName,manual entry,,string,1
ClauseLinkage,primary,Sentence,AnticipatoryArgumentMarking,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,CataphoraConstraints,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,CategoricalSymmetry,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,ClauseLayer,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,ClausePosition,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,Embedding,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,ExtractionConstraints,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,FinitenessRatio,manual entry,,number,1
ClauseLinkage,primary,Sentence,FinitenessSimplified,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,FocusMarkingInDependent,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,FocusMarking,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,IllocutionaryMarking,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,IllocutionaryScope,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,InterpropositionalSemanticRelation,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,ReferenceTrackingSystem,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,TenseMarking,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,TenseScope,manual entry,,value-list,1
ClauseLinkage,primary,Sentence,Examples,manual entry,,comment,1
ClauseWordOrder,primary,Sentence,LID,manual entry,,integer,1
ClauseWordOrder,primary,Sentence,Glottocode,manual entry,,string,1
ClauseWordOrder,primary,Sentence,Language,manual entry,,string,1
ClauseWordOrder,primary,Sentence,WordOrderAPLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,WordOrderAPVLexFlexible,manual entry,,string,1
ClauseWordOrder,primary,Sentence,VFinalLex,manual entry,,string,1
ClauseWordOrder,primary,Sentence,VFinalOrFreeLex,manual entry,,string,1
ClauseWordOrder,primary,Sentence,VInitialLex,manual entry,,string,1
ClauseWordOrder,primary,Sentence,VMedialLex,manual entry,,string,1
ClauseWordOrder,primary,Sentence,WordOrderAPVBasicLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,WordOrderSVBasicLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,WordOrderAPBasicLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,WordOrderAVBasicLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,WordOrderPVBasicLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,PositionVBasicLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,PositionVBasicLexIsFinal,manual entry,,logical,1
ClauseWordOrder,primary,Sentence,PositionVBasicLexIsFinalFree,manual entry,,logical,1
ClauseWordOrder,primary,Sentence,PositionVBasicLexIsInitial,manual entry,,logical,1
ClauseWordOrder,primary,Sentence,PositionVBasicLexIsMedial,manual entry,,logical,1
ClauseWordOrder,primary,Sentence,WordOrderAPVSecondaryLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,WordOrderSVSecondaryLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,WordOrderAPSecondaryLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,WordOrderAVSecondaryLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,WordOrderPVSecondaryLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,PositionVSecondaryLex,manual entry,,value-list,1
ClauseWordOrder,primary,Sentence,PositionVSecondaryLexIsFinal,manual entry,,logical,1
ClauseWordOrder,primary,Sentence,PositionVSecondaryLexIsFinalFree,manual entry,,logical,1
ClauseWordOrder,primary,Sentence,PositionVSecondaryLexIsInitial,manual entry,,logical,1
ClauseWordOrder,primary,Sentence,PositionVSecondaryLexIsMedial,manual entry,,logical,1
Clusivity,primary,Categories,LID,manual entry,,integer,1
Clusivity,primary,Categories,Glottocode,manual entry,,string,1
Clusivity,primary,Categories,Language,manual entry,,string,1
Clusivity,primary,Categories,HasClusivity,manual entry,,logical,1
Clusivity,primary,Categories,ClusivityType,computed,,value-list,1
Clusivity,primary,Categories,HasClusivityAsPerson,manual entry,,logical,1
Clusivity,primary,Categories,HasClusivityWithMinimalNumberSystem,manual entry,,logical,1
Gender,primary,Categories,LID,manual entry,,integer,1
Gender,primary,Categories,Glottocode,manual entry,,string,1
Gender,primary,Categories,Language,manual entry,,string,1
Gender,primary,Categories,HasGender,manual entry,,logical,1
Gender,primary,Categories,GenderCount,manual entry,,integer,1
Gender,primary,Categories,GenderCountBinned4,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,LID,manual entry,,integer,1
GrammaticalMarkers,primary,Morphology,Glottocode,manual entry,,string,1
GrammaticalMarkers,primary,Morphology,Language,manual entry,,string,1
GrammaticalMarkers,primary,Morphology,MarkerID,manual entry,,integer,1
GrammaticalMarkers,primary,Morphology,MarkerLabel,manual entry,,comment,1
GrammaticalMarkers,primary,Morphology,MarkerExemplar,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerForm,manual entry,,comment,1
GrammaticalMarkers,primary,Morphology,MarkerClausalDomain,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerMorphemeType,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerIsGrammaticalWord,manual entry,,logical,1
GrammaticalMarkers,primary,Morphology,MarkerIsPersonPortmanteau,manual entry,,logical,1
GrammaticalMarkers,primary,Morphology,MarkerHostRestriction,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerIsHostRestricted,manual entry,,logical,1
GrammaticalMarkers,primary,Morphology,MarkerFusion,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerFusionBinned6,manual entry,MarkerFusion,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerFusionIsIsolating,manual entry,MarkerFusion,logical,1
GrammaticalMarkers,primary,Morphology,MarkerFusionIsNonlinear,manual entry,MarkerFusion,logical,1
GrammaticalMarkers,primary,Morphology,MarkerFusionIsReduplicative,manual entry,MarkerFusion,logical,1
GrammaticalMarkers,primary,Morphology,MarkerFusionIsTonal,manual entry,MarkerFusion,logical,1
GrammaticalMarkers,primary,Morphology,MarkerIsFlexive,computed,,logical,1
GrammaticalMarkers,primary,Morphology,MarkerHasLexicalFlexivity,computed,,logical,1
GrammaticalMarkers,primary,Morphology,MarkerStemFlexivity,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerFormativeFlexivity,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerLocus,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerLocusBinned6,manual entry,MarkerLocus,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerLocusBinned5,manual entry,MarkerLocus,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerPosition,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerPositionBinned4,manual entry,MarkerPosition,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerPositionBinned5,manual entry,MarkerPosition,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerHasPreposedExponent,manual entry,MarkerPosition,logical,1
GrammaticalMarkers,primary,Morphology,MarkerHasPreposedDefaultExponent,manual entry,MarkerPosition,logical,1
GrammaticalMarkers,primary,Morphology,MarkerHasPostposedExponent,manual entry,MarkerPosition,logical,1
GrammaticalMarkers,primary,Morphology,MarkerHasMultipleExponents,manual entry,MarkerPosition,logical,1
GrammaticalMarkers,primary,Morphology,MarkerHasMultipleDefaultExponents,manual entry,MarkerPosition,logical,1
GrammaticalMarkers,primary,Morphology,MarkerBehavior,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerBehaviorBinned4,manual entry,MarkerBehavior,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerBehaviorIsSpreading,manual entry,MarkerBehavior,logical,1
GrammaticalMarkers,primary,Morphology,MarkerPlacement,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerSource,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerSlot,manual entry,,string,1
GrammaticalMarkers,primary,Morphology,MarkerIsInOppositionToZero,manual entry,,logical,1
GrammaticalMarkers,primary,Morphology,MarkerHosts$MarkerHostCategory,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerHosts$MarkerHostProjectionType,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerHosts$MarkerHostSyntacticDomain,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerHosts$MarkerHostClausalDomain,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerExpressedMicrorelations$MarkerExpressedMicrorelation,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerExpressedMicrorelations$MarkerExpressedMacrorelation,manual entry,MarkerExpressedMicrorelation,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerExpressedCategoriesCount,computed,,integer,1
GrammaticalMarkers,primary,Morphology,MarkerExpressesMultipleCategories,computed,,logical,1
GrammaticalMarkers,primary,Morphology,MarkerExpressedCategories$MarkerExpressedCategory,manual entry,,value-list,1
GrammaticalMarkers,primary,Morphology,MarkerExpressedCategories$MarkerExpressedMacrocategory,manual entry,MarkerExpressedCategory,value-list,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,LID,manual entry,,integer,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Glottocode,manual entry,,string,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Language,manual entry,,string,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Case$HasCase,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Case$IsCaseCodedForDefaultPredicates,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Case$IsCaseCodedForDitransitivePredicates,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Case$IsCaseCodedForOtherPredicates,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Agreement$HasAgreement,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Agreement$IsAgreementCodedForDefaultPredicates,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Agreement$IsAgreementCodedForDitransitivePredicates,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Agreement$IsAgreementCodedForOtherPredicates,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Agreement$IsAgreementMarkersCodedForDefaultPredicates,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Agreement$IsAgreementMarkersCodedForDitransitivePredicates,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,Agreement$IsAgreementMarkersCodedForOtherPredicates,manual entry,,logical,1
GrammaticalRelationCoverage,primary,GrammaticalRelations,PersonNumberCategories$PersonNumberCategory,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,LID,manual entry,,integer,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,Glottocode,manual entry,,string,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,Language,manual entry,,string,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectorID,manual entry,,integer,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectorLabel,manual entry,,comment,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectorType,manual entry,,string,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectorTypeBinned,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectorTypeBinned4,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,IsOvertlyCoded,manual entry,,logical,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectorLocusOfMarking,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectorClauseScope,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,CoreferenceControllerOrControllee,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,CoreferenceArgumentTreatment,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,IsSelectorSurveyComplete,manual entry,,logical,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,MarkerID,manual entry,,integer,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$SelectedRole,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$ReferentialCondition,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$CoargumentRoleCondition,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$CoargumentReferentialCondition,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$PredicateClassID,manual entry,,integer,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$SemanticCondition,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$SyntacticDomainCondition,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$ClauseRankCondition,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$CategoryCondition,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$DiathesisCondition,manual entry,,value-list,1
GrammaticalRelationsRaw,primary,GrammaticalRelations,SelectedArguments$PolarityCondition,manual entry,,value-list,1
LocusOfMarkingPerMicrorelation,primary,Morphology,LID,manual entry,,integer,1
LocusOfMarkingPerMicrorelation,primary,Morphology,Glottocode,manual entry,,string,1
LocusOfMarkingPerMicrorelation,primary,Morphology,Language,manual entry,,string,1
LocusOfMarkingPerMicrorelation,primary,Morphology,Microrelation,manual entry,,value-list,1
LocusOfMarkingPerMicrorelation,primary,Morphology,Macrorelation,manual entry,Microrelation,value-list,1
LocusOfMarkingPerMicrorelation,primary,Morphology,LocusOfMarkingComments,manual entry,,comment,1
LocusOfMarkingPerMicrorelation,primary,Morphology,LocusOfMarking$IsDefaultLocusOfMarking,manual entry,,logical,1
LocusOfMarkingPerMicrorelation,primary,Morphology,LocusOfMarking$LocusOfMarking,manual entry,,value-list,1
LocusOfMarkingPerMicrorelation,primary,Morphology,LocusOfMarking$LocusOfMarkingBinned6,manual entry,LocusOfMarking,value-list,1
LocusOfMarkingPerMicrorelation,primary,Morphology,LocusOfMarking$LocusOfMarkingBinned5,manual entry,LocusOfMarking,value-list,1
